adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
False,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,53168,tt0188766,cn,喜剧之王,"Wan Tin-Sau is an actor who cannot seem to catch a break, since his only professional jobs are limited to being a movie extra. As well as being an actor, he is also the head of his village's community center.",3.139003,/8vOAFDbi90X25eSfIL9ZFHczxG.jpg,"[{'name': 'Star Overseas', 'id': 3477}]","[{'iso_3166_1': 'HK', 'name': 'Hong Kong'}]",1999-02-13,0.0,89.0,"[{'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}]",Released,,King of Comedy,False,6.9,34.0
False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 80, 'name': 'Crime'}]",,32526,tt0324013,en,Soldier's Girl,"The true story of Soldier’s Girl, which takes place in Fort Campbell, KY, tells the heart-wrenching story of the life and tragic death of soldier Barry Winchell. His love for Calpernia Addams, a beautiful transgendered nightclub performer was misunderstood by fellow soldiers and eventually leads to his brutal death.",2.955559,/r83beSUyVkE1zwLsghuDY15P9pj.jpg,"[{'name': 'Bachrach/Gottlieb Productions', 'id': 14648}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2003-05-31,0.0,112.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,She was the only man he ever loved.,Soldier's Girl,False,6.9,27.0
False,,0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",,27306,tt0270841,en,Cyber Wars,,1.157129,/m8DyuXYJibitUBJqrE3CcA8CPaT.jpg,"[{'name': 'Cinemancer Pte Ltd.', 'id': 4662}]","[{'iso_3166_1': 'SG', 'name': 'Singapore'}]",2004-01-01,0.0,103.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Cyber Wars,False,6.8,4.0
False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",,60140,tt0037505,en,Allotment Wives,Unscrupulous women marry servicemen for their pay.,0.284479,/mPNInDkdsGI0fl3vCPxvAOCxFVx.jpg,"[{'name': 'Monogram Pictures', 'id': 4395}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1945.11.08,0.0,80.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,They're Pretty To Look At . . . But POISON To Love!,Allotment Wives,False,6.5,2.0
False,,0,[],,253377,tt3474462,en,La distancia,"A heist film unlike any you've ever seen. In his second film (following his debut Finisterrae), Sergio Caballero plays fast and loose with all the laws of genre filmmaking. The ‘distance’ in the title is the ultimate MacGuffin - the term coined by Hitchcock for the thing the characters are pursuing, but which for the audience is completely meaningless.  The fact that everyone communicates by telepathy enables Caballero to ‘speak’ a lingua franca made up of many different languages: from the Russian of the dwarves and the guard, to the German of the artist and the Chinese of the guard with the brazier.",0.379726,/3I9Ng1PWyf8jjLyrAAQTvXsKjzK.jpg,[],[],2014-01-25,0.0,80.0,"[{'iso_639_1': 'es', 'name': 'Español'}]",Released,,The Distance,False,6.4,5.0
False,,0,"[{'id': 10751, 'name': 'Family'}, {'id': 80, 'name': 'Crime'}]",https://www.netflix.com/nz/title/80097725,429238,tt5740806,en,Coin Heist,"When a crisis threatens to destroy their high school, four teens hatch a daring plan to raise $10 million. Step one? Breaking into the U.S. Mint.",2.835202,/2I9pEcfL9z4vHbhrBydxe4jZLdk.jpg,"[{'name': 'Adaptive Studios', 'id': 84167}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2017-01-06,0.0,97.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,,Coin Heist,False,5.1,61.0
False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",,184819,tt0016232,fr,Poil de carotte,A young boy is constantly mistreated by her mother because he is the prefered of the father.,0.089113,/fmhZYAI5dwHaV32jj1WPFpKok33.jpg,"[{'name': 'Majestic Films', 'id': 62532}, {'name': 'Films A. Legrand', 'id': 70358}]","[{'iso_3166_1': 'FR', 'name': 'France'}]",1925-12-22,0.0,108.0,"[{'iso_639_1': 'fr', 'name': 'Français'}]",Released,,Poil de Carotte,False,5.0,1.0
False,,0,"[{'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",,72968,tt0167474,ru,Vasilisa Prekrasnaya,"Based on a Russian folk tale, Vasilisa Prekrasnaya (Vasilisa the Beautiful) is about a father whose three sons go out to finds themselves brides. Two of the boys come home with perfectly normal girls, but the youngest brother, Ivanushka, brings home a frog from the marshes. His father finds this most curious, but what he does not know was that the frog was actually a beautiful girl named Vasilisa who was cursed by a magical serpent whom she refused to marry. Now Ivanushka must overcome tremendous obstacles to restore Vasilisa to her true form and free her from the serpent's spell.",0.099605,/qXA5bCMEzY3s8zqZck4Flb76lUx.jpg,"[{'name': 'Soyuzdetfilm', 'id': 15444}]",[{'iso_3166_1': 'RU',1940-05-13,0.0,72.0,"[{'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,,Vassilisa the Beautiful,False,6.0,1.0
False,,35000000,"[{'id': 18, 'name': 'Drama'}]",http://northcountrymovie.warnerbros.com/,9701,tt0395972,en,North Country,"A fictionalized account of the first major successful sexual harassment case in the United States -- Jenson vs. Eveleth Mines, where a woman who endured a range of abuse while working as a miner filed and won the landmark 1984 lawsuit.",8.781298,/5GgqXt4H3PoV93qawuYz4ZjfmKT.jpg,"[{'name': 'Warner Bros.', 'id': 6194}, {'name': 'Participant Media', 'id': 6735}, {'name': 'Nick Wechsler Productions', 'id': 8073}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2005-02-12,25224242.0,126.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,All She Wanted Was To Make A Living. Instead She Made History.,North Country,False,6.9,127.0
False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",http://www.ireallyhatemyjobthemovie.com/,18820,tt0831299,en,I Really Hate My Job,,1.840607,/d6MZJ140Km62hLxsVjsuXRwH1P0.jpg,[],"[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2007-01-01,0.0,90.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,I Really Hate My Job,False,3.8,4.0
False,,0,"[{'id': 35, 'name': 'Comedy'}]",,88269,tt0021283,ja,Rakudai Wa Shitakeredo,Takahashi finds a creative way to avoid doing his revision in this roguish comedy reminiscent of  Harold Lloyd’s The Freshman.,0.160931,/lVO0dIlgh5XdPI85Bl35YyGnlG3.jpg,"[{'name': 'Shochiku Kinema (Kamata)', 'id': 10652}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",1930-04-11,0.0,65.0,"[{'iso_639_1': 'ja', 'name': '日本語'}]",Released,,"I Flunked, But...",False,2.5,2.0
False,,26000000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",http://selflessmovie.tumblr.com/,238615,tt2140379,en,Self/less,An extremely wealthy elderly man dying from cancer undergoes a radical medical procedure that transfers his consciousness to the body of a healthy young man but everything may not be as good as it seems when he starts to uncover the mystery of the body's origins and the secret organization that will kill to keep its secrets.,25.301568,/5MUyULSD4syaMQFcfPABqopAO4e.jpg,"[{'name': 'Endgame Entertainment', 'id': 1205}, {'name': 'Ram Bergman Productions', 'id': 11092}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2015-07-10,30523226.0,116.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,God Created Man. Man Created Immortality.,Self/less,False,6.3,1122.0
False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",http://www.knallhart-derfilm.de,434,tt0475317,de,Knallhart,"From the youth directed novel of the same name by Greogor Tressnow comes a film by Detlev Buck that is a realistic portrait of life in the section of Berlin called Neukölln. It’s about power and weakness, delinquents and victims, and the difficulties a 15-year-old faces in a poor and criminal environment.",1.634982,/24GUshsd6GtcSY4Jo0Nh4ilkaXV.jpg,"[{'name': 'Boje Buck Produktion', 'id': 230}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}]",2006-03-09,0.0,0.0,"[{'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,,Tough Enough,False,7.2,14.0
False,,500000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",,49235,tt0117724,en,Squeeze,"Ty, Hector, and Bao are close friends in a tough section of Boston, where they're called ""the PG-13 crew."" They're 14, decent kids with few skills who've bailed out of school. A small gang of older tough guys, led by Marcus and Tommy, menace them, and when the PG-13s fight back and rob one of the gang, Marcus and Tommy vow to kill them. They seek protection from Derick, a drug dealer, who agrees to help if they'll sell drugs. Meanwhile, Ty is recruited to work at a community center by J.J., its quiet leader. Ty and his friends are in a squeeze: surrounded by violence, drugs, and no opportunities, is there any way out?",0.321515,/iifSS4xn1rnkYhICYXUwbF3BF5h.jpg,[],[],1997-06-06,10300.0,95.0,[],Released,Only the strong survive these streets.,Squeeze,False,6.0,1.0
False,,0,"[{'id': 18, 'name': 'Drama'}]",,53232,tt0021874,en,Five and Ten,"John owns the largest chain of five and ten cent stores in the country. He moves his family to New York from Kansas City and their life, though grand, is falling apart due to his constant working. Wife and mother Jenny is lonely. Son Avery hates his job. Daughter Jennifer is snubbed by classmate Muriel and her friends. At a charity bazaar, Jennifer meets Berry and sparks are evident. However, he is engaged to Muriel and Muriel will make sure that she, and only she, marries Berry. After the marriage, Berry still thinks of Jennifer as Jennifer thinks of Berry. Avery laments about the state of his family since they were happy in Kansas City.",0.051534,/xleEiAuIA1rGOO2fAVfFLf2IlO7.jpg,"[{'name': 'Metro-Goldwyn-Mayer', 'id': 21}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1931-06-13,0.0,89.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Five and Ten,False,8.0,1.0
False,,0,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 14, 'name': 'Fantasy'}]",,41078,tt0121431,hu,János Vitéz,,2e-06,/5q8OxkeayCWj4iFMfLUNC2fYb3w.jpg,"[{'name': 'Pannónia Filmstúdió', 'id': 48669}]","[{'iso_3166_1': 'HU', 'name': 'Hungary'}]",1973-05-01,0.0,74.0,"[{'iso_639_1': 'hu', 'name': 'Magyar'}]",Released,,Johnny Corncob,False,0.0,0.0
False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10769, 'name': 'Foreign'}]",,29067,tt0059465,en,"Die, Monster, Die!","A young man visits his fiancé's estate to discover that her wheelchair-bound scientist father has discovered a meteorite that emits mutating radiation rays that have turned the plants in his greenhouse to giants. When his own wife falls victim to this mysterious power, the old man takes it upon himself to destroy the glowing object with disastrous results.",2.274081,/aAYlioTJ5RpxfihDhwjBubLYqlf.jpg,[],"[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1965-10-26,0.0,80.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,No one can stop this killing machine....It's Already Dead!!!,"Die, Monster, Die!",False,6.5,16.0
False,,0,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]",,46869,tt0384037,en,Love on the Side,"Small town waitress Eve Stuckley is stuck. She has spent years pining for testosterone saturate local hunk Jeff Sweeney and yearns to escape from the Hog-Chow Diner she runs. Just when Eve finally decides to pursue her man, drop dead gorgeous Linda Avery blows into town on the hottest day of the year. The heat wave is nothing in comparison with the heat that's on as Jeff and Eve's dimwitted brother Chuck decide to face off for Linda's affections. It's a priceless contest: Linda wants Eve. Eve's confidante Alma Kerns is a sex expert trained by mortician beau Red Bishop. She encourages Eve to use Linda's interest in her to win Jeff's affection but the situation becomes even more complicated when Linda advises Jeff she prefers Eve. Now determined to ""save"" Eve, the narcissistically injured Jeff elicits Chuck's aid but Chuck, thinking it's part of the game, refuses to believe him. Ultimately, Jeff and Linda square off over Eve's future...",0.607125,/sS2ceJT9ImxkwRqv6YCaUsWjcUI.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'CA', 'name': 'Canada'}]",2004-09-30,0.0,102.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Rumored,A small-town waitress vies with a sassy city slicker for the attention of the town's most eligible bachelor.,Love on the Side,False,5.7,6.0
False,,0,"[{'id': 99, 'name': 'Documentary'}]",,195862,tt0137355,en,O Amor Natural,"O AMOR NATURAL is a documentary film about the erotic poetry of one of the greatest Latin American poets of the 20th century, the Brazilian Carlos Drummond de Andrade (1902-1987).  The erotic poems of Carlos Drummond de Andrade, a household name in Brazil, remained unpublished during his lifetime, as he feared they would be deemed pornographic. In this celebration of his poetry and sensual vision, elderly residents of Rio read his poems and comment on their graphic, voluptuous imagery with tremendous candor and enthusiasm.",0.081726,/7U5SD9pk3tYI0eWmxSsJJHbBcKP.jpg,[],[],1996-12-05,0.0,76.0,[],Released,,O Amor Natural,False,8.0,1.0
False,,4500000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",http://www.theromanticsmovie.com/,41556,tt1403988,en,The Romantics,Seven close friends reunite for the wedding of two of their friends. Problems arise because the bride and the maid of honor have had a long rivalry over the groom.,8.786269,/2wxdC3GXfujNHn5f19125x5JlmH.jpg,"[{'name': '10th Hole Productions', 'id': 6691}, {'name': 'Benaroya Pictures', 'id': 6692}, {'name': 'Four of a Kind Productions', 'id': 6693}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2010-09-10,123820.0,95.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]",Released,,The Romantics,False,4.8,83.0
False,,0,"[{'id': 35, 'name': 'Comedy'}]",,48646,tt0044355,en,Androcles and the Lion,"George Bernard Shaw’s breezy, delightful dramatization of this classic fable—about a Christian slave who pulls a thorn from a lion’s paw and is spared from death in the Colosseum as a result of his kind act—was written as a meditation on modern Christian values. And Pascal’s final Shaw production plays it broadly, casting comic character actor Alan Young as the titular naïf. He’s ably supported by Jean Simmons, Victor Mature, Robert Newton, and Elsa Lanchester.",0.186005,/qDaXrqaVuRe219x1VNd5uTZKGYA.jpg,"[{'name': 'RKO Radio Pictures', 'id': 6}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1952-12-01,0.0,98.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Story of a Christian in ancient Rome who befriends a lion,Androcles and the Lion,False,6.3,4.0
False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",,2094,tt0058534,en,Roustabout,"Elvis plays a bad-boy singer roaming the highways on his Japanese motorcycle; laid up after an accident, he joins a carnival owned by the feisty Barbara Stanwyck.",1.049308,/o1NuU0ExNiOt57mSN6WS6Zr1Hnd.jpg,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Hal Wallis Productions', 'id': 3468}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1964-11-11,3000000.0,101.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"Elvis Presley as a Roving, Restless, Reckless, ROUSTABOUT",Roustabout,False,5.8,11.0
False,,0,"[{'id': 35, 'name': 'Comedy'}]",,106176,tt0055915,es,Las doce sillas,"When her country is taken over by socialist revolutionaries, a wealthy woman can't bear to give up all of her wealth and possessions to the new government, so she hides all of her treasures in the 12 chairs of a dining-room set. After her death her nephew finds out what she had done and, since the chairs had been ""nationalized"" and are now in the possession of a dozen different people, he sets out to track them down and get the treasures he believes rightfully belong to him.",1.273735,/r6C0grnkvi5d3PUaDwKcXsvWWyp.jpg,"[{'name': 'Instituto Cubano del Arte e Industrias Cinematográficos (ICAIC)', 'id': 5175}]","[{'iso_3166_1': 'CU', 'name': 'Cuba'}]",1962-12-17,0.0,94.0,"[{'iso_639_1': 'es', 'name': 'Español'}]",Released,,The Twelve Chairs,False,6.5,2.0
False,,0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",http://www.das-letzte-schweigen.de/,60534,tt1361835,de,Das letzte Schweigen,13-year-old Sinikka vanishes on a hot summer night. Her bicycle is found in the exact place where a girl was killed 23 years ago. The dramatic present forces those involved in the original case to face their past.,2.698707,/khJaULBHdhmxNgyyew6fd4kr5T0.jpg,"[{'name': 'Lüthje & Schneider Filmproduktion', 'id': 16051}, {'name': 'Cine Plus', 'id': 16052}, {'name': 'Das Kleine Fernsehspiel (ZDF)', 'id': 16053}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}]",2010-08-13,0.0,120.0,"[{'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,,The Silence,False,6.5,37.0
False,,0,"[{'id': 99, 'name': 'Documentary'}]",,334057,tt4546868,en,Louis Theroux: By Reason of Insanity,"Louis investigates Ohio's state psychiatric hospitals, meeting patients who have committed crimes but have been found not guilty by reason of insanity.",0.261593,/eNCcSL7mfrSBGg6UkvJJq1WBvbB.jpg,"[{'name': 'BBC', 'id': 5996}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2015-03-22,0.0,120.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Louis Theroux: By Reason of Insanity,False,7.3,3.0
False,,0,"[{'id': 37, 'name': 'Western'}]",,186585,tt0040530,en,Last of the Wild Horses,A cowboy must clear himself of a murder he did not commit.,0.737664,/srUG6q0s44Ug28N2DYqxAPLWlcS.jpg,"[{'name': 'Lippert Pictures', 'id': 4946}, {'name': 'Robert L. Lippert Productions', 'id': 77803}, {'name': 'Crestwood Pictures', 'id': 92161}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1948-12-27,0.0,84.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Wild fury... Wide open thrills!,Last of the Wild Horses,False,2.5,2.0
False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10769, 'name': 'Foreign'}]",,268297,tt2249278,en,El crítico,"Tellez is a strict and prestigious film critic, totally weary of Hollywood romantic comedies and certain that the best of the seventh art died long time ago. Maybe because of its work, suffers from what he calls the ‘maladie du cinema’: He sees the world like if it was a big movie that, in addition, he cannot keep from criticizing. While searching for his new apartment, he unexpectedly meets Sofia, a young and attractive woman that has very little to do with his good taste. ‘Elemental, constructed on a basis of cliches’ he would describe her. Movements of random bring them together over and over again, in strangely idyllic situations. Tellez attempts to escape from a staging that he loathes, but suspects that the movie genre that he hates the most is taking its revenge.",0.048818,/sF08dFWEPl0FPXcbJiTtOYig4SB.jpg,[],"[{'iso_3166_1': 'AR', 'name': 'Argentina'}]",2013-04-11,0.0,90.0,"[{'iso_639_1': 'es', 'name': 'Español'}]",Released,,The Film Critic,False,5.0,1.0
False,,0,"[{'id': 99, 'name': 'Documentary'}]",,94326,tt1446673,en,All In: The Poker Movie,"A documentary focusing on why one of America's oldest games has had a renaissance in the past few years and why, for so many, poker is the way to chase the American Dream.",0.124581,/qFAAbepxgteS6DDnnVswdmA3SbE.jpg,[],[],2012-03-23,0.0,,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,All In: The Poker Movie,False,6.7,3.0
False,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",http://unindianfilm.com/comingsoon/,354150,tt4024210,en,unINDIAN,"Single mum Meera is an Australian of Indian origin. Smart and independent, she has carved out a successful life for herself and her daughter...despite family pressure to find a 'nice Indian match'. Then Meera meets Will, a blonde, blue-eyed Aussie charmer. But falling in love with an Australian is not only scandalous - it's unIndian! Does she do what her family wishes, or follow her heart?",0.873019,/e5hpOt5NMgnpsKcmPAsSNo73Smy.jpg,"[{'name': 'Films & Casting Temple', 'id': 60690}, {'name': 'Australia India Film Fund', 'id': 60691}]","[{'iso_3166_1': 'AU', 'name': 'Australia'}]",2015-10-15,0.0,102.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,A cross-cultural comedy.,unINDIAN,False,5.8,5.0
